Product,Name,Price (INR),Rating,Comment Heading,Comment
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN515-43-R2M9 Gaming Laptop,Pawan Kumawat,51990.0,5,Acer Nitro Vs Asus Tuf,Probably I am one of those who bought this laptop immediately after it was added on flipkart and I am so happy with my decision.This laptop is just awesome. 1. Built- 5/52. Screen 5/53. Looks 5/54. Battery life with normal uses around 6-7 hours- 5/55. Performance 5/56. Sound - 4/5. I am giving 1 lesser for sound because its not enough loud. Otherwise sound quality is great. I wish it would have been bit louder.7. CPU heat near 35 d C at normal uses. Also there is option to increase/de...
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN515-43-R2M9 Gaming Laptop,Gaurav Sharma,51990.0,5,Awesome,"Sound could have been better, otherwise the best laptop in its category. Go for it."
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN515-43-R2M9 Gaming Laptop,john c jacob,51990.0,4,Very Good,gta
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN515-43-R2M9 Gaming Laptop,Abhijeet Bhattacharya,51990.0,5,Mind-blowing purchase,performance is awesome when connected to the charger.boot time is 8 second.battery backup around 5 hour.cpu z single thread point is 430 and multicore point is 2234.update your rx560x driver to aderline 2019 driver from amd website for photoshop and adobe premiere pro gpu accelaration.
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN515-43-R2M9 Gaming Laptop,Sumit  Mandal ,51990.0,5,Highly recommended,"Great display, fast processing coz of ssd, great battery life (6 hrs normal usage)"
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN515-43-R2M9 Gaming Laptop,NAVNEET KUMAR,51990.0,5,Super!,IN 50K (47500  - HDFC debit card 5%)you will get256gb nvme ssd1Tb hdd1080pRYZEN 5RX560X(better then mx1050)RED BACKLIT KEYBOARDOWESOME LOOKING DESIGN+TYPE C+KINGSTON LOCKboot time around 8 secondshut down time around 7just because of nvme ssd.constill now nothing if i find something then i will add in edits..
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN515-43-R2M9 Gaming Laptop,Tuhin Bhowmik,51990.0,5,Must buy!,Got it for 49k excellent grab for the price
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN515-43-R2M9 Gaming Laptop,Aditya Anand,51990.0,5,Wonderful,"Got this laptop for 37,990/- only in big billion days also applying some axis bank offer and at this I must say I got a beast. But this laptop is even value for money at 50,000/-. The battery backup is awesome for gaming laptop approx 6H in normal use. Build quality is also so good. Just one con that is display lifts up with very light pressure.other than that no cons in laptop.boot time is very fast approx 8 sec. Just go for it."
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN515-43-R2M9 Gaming Laptop,Flipkart Customer,51990.0,4,Pretty good,best product ....just go for it...... amazing  laptop🔥
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN515-43-R2M9 Gaming Laptop,md anwar faiyaz,51990.0,5,Terrific purchase,this is beast laptop in this Budget under . this is the best deal for architect in this amount
